# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	47733
#@/user_id	macOS
bu shuo 	不說	c=1 d=1.7142e-17 t=47733
bu si hu 	不似乎	c=2 d=5.41101e-11 t=47733
bu suan 	不算	c=2 d=8.51826e-26 t=47733
bu tai 	不太	c=18 d=8.88205e-06 t=47733
bu tai 	補胎	c=1 d=5.7505e-21 t=47733
bu tai hao 	不太好	c=2 d=1.0885e-27 t=47733
bu tang 	不燙	c=1 d=5.26989e-53 t=47733
bu teng 	不疼	c=1 d=1.62744e-53 t=47733
bu ti 	不提	c=0 d=9.51168e-60 t=47733
bu ti a 	不提阿	c=2 d=7.8837e-27 t=47733
bu ti gong 	不提供	c=1 d=1.2891e-17 t=47733
bu tie 	補鐵	c=1 d=2.87042e-23 t=47733
bu ting 	不聽	c=1 d=8.21549e-12 t=47733
bu ting hua 	不聽話	c=1 d=6.54639e-46 t=47733
bu tong 	不同	c=11 d=1.31743e-08 t=47733
bu tong 	不通	c=0 d=1.43753e-06 t=47733
bu tong le 	不通了	c=1 d=1.44473e-05 t=47733
bu tong ming 	不同名	c=1 d=2.77027e-17 t=47733
bu wan mei 	不完美	c=1 d=2.24203e-28 t=47733
bu wan shan 	不完善	c=1 d=2.65297e-08 t=47733
bu wei 	部位	c=15 d=0.00311404 t=47733
bu xi huan 	不喜歡	c=2 d=1.96147e-34 t=47733
bu xia 	不下	c=2 d=2.06221e-15 t=47733
bu xia lai 	不下來	c=2 d=1.89056e-22 t=47733
bu xian shi 	不顯示	c=5 d=1.32084e-09 t=47733
bu xiang 	不想	c=3 d=1.68283e-35 t=47733
bu xiang 	不響	c=1 d=5.32286e-53 t=47733
bu xiang qu 	不想去	c=1 d=1.25749e-19 t=47733
bu xin 	不信	c=1 d=3.33779e-33 t=47733
bu xing 	不行	c=24 d=5.01213e-06 t=47733
bu xu yao 	不需要	c=8 d=0.000982524 t=47733
bu yao 	不要	c=19 d=0.331211 t=47733
bu yao qian 	不要錢	c=1 d=2.08975e-24 t=47733
bu ye 	不也	c=2 d=1.87287e-28 t=47733
bu yi 	不一	c=1 d=1.13099e-07 t=47733
bu yi ding 	不一定	c=6 d=3.80266e-08 t=47733
bu yi yang 	不一樣	c=7 d=3.66534e-08 t=47733
bu yi yang de 	不一樣的	c=2 d=5.8263e-28 t=47733
bu yi zhi 	不一致	c=2 d=5.99659e-14 t=47733
bu ying 	不應	c=1 d=2.81894e-16 t=47733
bu ying gai 	不應該	c=7 d=8.37717e-06 t=47733
bu ying gai ibeacon a 	不應該iBeacon阿	c=1 d=1.33062e-37 t=47733
bu ying xiang 	不影響	c=4 d=3.53936e-17 t=47733
bu ying ying 	步盈盈	c=1 d=7.86896e-05 t=47733
bu yong 	不用	c=23 d=0.00543829 t=47733
bu yong le 	不用了	c=1 d=1.35004e-31 t=47733
bu yun xu 	不允許	c=2 d=1.43283e-07 t=47733
bu zai 	不再	c=7 d=8.14925e-05 t=47733
bu zai 	不在	c=1 d=1.80927e-05 t=47733
bu zhang jia 	不漲價	c=1 d=8.30061e-45 t=47733
bu zhao ji 	不着急	c=1 d=1.5369e-56 t=47733
bu zheng chang 	不正常	c=2 d=1.02263e-28 t=47733
bu zhi 	不只	c=2 d=4.15691e-44 t=47733
bu zhi 	不知	c=0 d=1.22428e-58 t=47733
bu zhi chi 	不支持	c=2 d=2.80297e-08 t=47733
bu zhi dao 	不知道	c=51 d=0.0765371 t=47733
bu zhi yi tiao 	不知一條	c=1 d=1.23041e-57 t=47733
bu zhuang 	不裝	c=2 d=0.00257991 t=47733
bu zhun 	不準	c=1 d=3.07949e-56 t=47733
bu zi 	步子	c=0 d=1.79127e-06 t=47733
bu zi a 	步子啊	c=1 d=1.80025e-05 t=47733
bu zou 	不走	c=1 d=6.58972e-06 t=47733
bu zuo 	不做	c=5 d=3.91772e-06 t=47733
ca 	擦	c=1 d=9.03423e-12 t=47733
ca han 	擦汗	c=1 d=1.1086e-07 t=47733
cai 	才	c=27 d=0.165299 t=47733
cai 	菜	c=1 d=1.67444e-35 t=47733
cai 	蔡	c=4 d=7.55818e-20 t=47733
cai 	踩	c=1 d=3.05892e-36 t=47733
cai chao 	彩超	c=15 d=8.95196e-22 t=47733
